"Id","Especie","Muestra","total_sequences","trim_adapter_bp_read1","trim_adapter_bp_read2","trim_quality_bp_read1","trim_quality_bp_read2","reads_filtered_by_Ns","reads_filtered_by_minlen","reads_passed_filter","reads_deleted","perc_reads_passed","perc_reads_deleted"
"E11","M_crucigera","Mc_3",858001,17233,12349,186874,268228,2,159072,698927,159074,81.4599283683819,18.5400716316181
"E12","M_flavicentra","Mf_3",2707996,55951,41067,950671,743671,2,648245,2059749,648247,76.0617445520599,23.9382554479401
"F04","M_haageana_conspicua","Mhc_4_3",3074553,67290,61064,694917,1069693,3,398669,2675881,398672,87.0331719765442,12.9668280234558
"F05","M_haageana_conspicua","Mhc_8_1",2788467,62073,53774,577132,1065108,3,318752,2469712,318755,88.5688085962645,11.4311914037355
"F06","M_haageana_meissneri","Mhm_5_4",2478691,59512,51245,535958,1127126,2,272720,2205969,272722,88.9973377076852,11.0026622923148
"F07","M_haageana_haageana","Mhh_1_3",4138931,91462,71616,821284,1485827,4,652870,3486057,652874,84.2260235795185,15.7739764204815
"F08","M_haageana_acultzingensis","Mha_1_5",1725993,40766,30646,404812,638778,1,295073,1430919,295074,82.9041021603216,17.0958978396784
"F09","M_albilanata_oaxacana","Mao_3_5",2025575,43699,35981,738122,563488,2,377861,1647712,377863,81.3453957518236,18.6546042481764
"F10","M_albilanata_oaxacana","Mao_5_2",2280041,51404,41579,458859,837529,2,343550,1936489,343552,84.9322007806,15.0677992194
"F11","M_lanata","Ml_1",1387216,31567,27142,443219,582473,2,158473,1228741,158475,88.576040068742,11.423959931258
"F12","M_magnimamma","Mm_1",3050504,60523,50283,808260,946375,4,511941,2538559,511945,83.2176912405294,16.7823087594706
"G04","M_haageana_conspicua","Mhc_4_4",2581888,59808,55371,537751,1086996,8,254104,2327776,254112,90.1578999553815,9.84210004461851
"G05","M_haageana_conspicua","Mhc_8_4",5566383,128173,106707,1374562,2072077,1,775562,4790820,775563,86.0670205409868,13.9329794590132
"G06","M_haageana_meissneri","Mhm_5_6",4393871,99150,79158,1006104,1702909,4,676081,3717786,676085,84.6129984243962,15.3870015756038
"G07","M_haageana_haageana","Mhh_2_1",1782859,41306,32718,368920,710186,0,238679,1544180,238679,86.6125700349831,13.3874299650169
"G08","M_haageana_acultzingensis","Mha_1_7",4571388,106450,81603,969418,1876829,6,695866,3875516,695872,84.777664901776,15.222335098224
"G09","M_albilanata_oaxacana","Mao_6_3",2780450,63717,48588,575742,1058624,2,289015,2491433,289017,89.6053876171123,10.3946123828877
"G10","M_albilanata_oaxacana","Mao_5_3",2161071,50445,40825,469844,835951,2,277239,1883830,277241,87.1711295001414,12.8288704998586
"G11","M_lanata","Ml_3",3704800,81865,70608,815789,1376203,8,530764,3174028,530772,85.6733966745843,14.3266033254157
"G12","M_duoformis","Mduo_1",2250037,54148,43045,379214,887364,4,210892,2039141,210896,90.6269985782456,9.3730014217544
"H03","M_haageana_conspicua","Mhc_1_4",3224769,70603,59787,675741,1170933,3,512005,2712761,512008,84.1226456840785,15.8773543159215
"H04","M_haageana_conspicua","Mhc_5_3",3510826,77096,63098,844049,1350429,6,577522,2933298,577528,83.5500819465277,16.4499180534723
"H05","M_haageana_meissneri","Mhm_1_2*",2085754,45715,36516,439960,794082,0,330425,1755329,330425,84.1580071283574,15.8419928716426
"H06","M_haageana_meissneri","Mhm_6_5",3412852,75678,59230,750526,1298772,10,569444,2843398,569454,83.3144244168807,16.6855755831193
"H07","M_haageana_haageana","Mhh_2_2",1123664,25080,18641,395490,408682,4,208304,915356,208308,81.461718093665,18.538281906335
"H08","M_albilanata_oaxacana","Mao_1_2",4306433,96096,77906,891064,1624845,4,579208,3727221,579212,86.5500752014486,13.4499247985514
"H09","M_albilanata_oaxacana","Mao_6_4",2001007,44459,31418,462951,704410,3,329830,1671174,329833,83.5166493670437,16.4833506329563
"H10","M_albilanata_albilanta","Maa_1_1",1550369,36184,28664,336277,583599,4,187388,1362977,187392,87.9130710172869,12.0869289827131
"H11","M_huitzilopochtli","Mhui_1",3911694,178056,70659,845931,1454802,6,655652,3256036,655658,83.2385150781222,16.7614849218778
"H12","M_myxtax","Mmy_1",2909170,61877,51168,1580817,906403,2,608035,2301133,608037,79.0992963628801,20.9007036371199
