opt_87_6_30,3070,52410
opt_87_6_44,1030,17619
opt_87_6_60,368,5749
opt_87_7_30,2660,44185
opt_87_7_44,956,15743
opt_87_7_60,355,5297
opt_87_8_30,2371,38185
opt_87_8_44,894,14165
opt_87_8_60,335,4853
opt_87_9_30,2201,34609
opt_87_9_44,834,12866
opt_87_9_60,316,4457
opt_88_6_30,3312,56231
opt_88_6_44,1080,18458
opt_88_6_60,355,5584
opt_88_7_30,2846,47319
opt_88_7_44,991,16302
opt_88_7_60,335,4983
opt_88_8_30,2476,39492
opt_88_8_44,908,14308
opt_88_8_60,324,4676
opt_88_9_30,2294,35880
opt_88_9_44,846,13044
opt_88_9_60,309,4352
opt_89_6_30,3401,57392
opt_89_6_44,1077,18275
opt_89_6_60,326,5073
opt_89_7_30,2976,49249
opt_89_7_44,994,16294
opt_89_7_60,311,4655
opt_89_8_30,2602,41617
opt_89_8_44,926,14610
opt_89_8_60,310,4525
opt_89_9_30,2388,37090
opt_89_9_44,866,13278
opt_89_9_60,287,4052
