"","Id","locus","no_miss","miss","perc_no_miss","perc_miss"
"74","mindepth_10_10_40","locus75",42,32,0.567567567567568,0.432432432432432
"75","mindepth_10_10_40","locus76",35,39,0.472972972972973,0.527027027027027
"76","mindepth_10_10_40","locus77",37,37,0.5,0.5
"77","mindepth_10_10_40","locus78",65,9,0.878378378378378,0.121621621621622
"78","mindepth_10_10_40","locus79",31,43,0.418918918918919,0.581081081081081
"79","mindepth_10_10_40","locus80",47,27,0.635135135135135,0.364864864864865
"80","mindepth_10_10_40","locus81",31,43,0.418918918918919,0.581081081081081
"81","mindepth_10_10_40","locus82",31,43,0.418918918918919,0.581081081081081
"82","mindepth_10_10_40","locus83",37,37,0.5,0.5
"83","mindepth_10_10_40","locus84",57,17,0.77027027027027,0.22972972972973
"84","mindepth_10_10_40","locus85",30,44,0.405405405405405,0.594594594594595
"85","mindepth_10_10_40","locus86",31,43,0.418918918918919,0.581081081081081
"86","mindepth_10_10_40","locus87",58,16,0.783783783783784,0.216216216216216
"87","mindepth_10_10_40","locus88",38,36,0.513513513513513,0.486486486486487
"88","mindepth_10_10_40","locus89",30,44,0.405405405405405,0.594594594594595
"89","mindepth_10_10_40","locus90",31,43,0.418918918918919,0.581081081081081
"90","mindepth_10_10_40","locus91",54,20,0.72972972972973,0.27027027027027
"91","mindepth_10_10_40","locus92",33,41,0.445945945945946,0.554054054054054
"92","mindepth_10_10_40","locus93",36,38,0.486486486486487,0.513513513513513
"93","mindepth_10_10_40","locus94",40,34,0.540540540540541,0.459459459459459
"94","mindepth_10_10_40","locus95",45,29,0.608108108108108,0.391891891891892
"95","mindepth_10_10_40","locus96",61,13,0.824324324324324,0.175675675675676
"96","mindepth_10_10_40","locus97",36,38,0.486486486486487,0.513513513513513
"97","mindepth_10_10_40","locus98",65,9,0.878378378378378,0.121621621621622
"98","mindepth_10_10_40","locus99",36,38,0.486486486486487,0.513513513513513
"99","mindepth_10_10_40","locus100",41,33,0.554054054054054,0.445945945945946
"100","mindepth_10_10_40","locus101",45,29,0.608108108108108,0.391891891891892
"101","mindepth_10_10_40","locus102",53,21,0.716216216216216,0.283783783783784
"102","mindepth_10_10_40","locus103",46,28,0.621621621621622,0.378378378378378
"103","mindepth_10_10_40","locus104",57,17,0.77027027027027,0.22972972972973
"104","mindepth_10_10_40","locus105",48,26,0.648648648648649,0.351351351351351
"105","mindepth_10_10_40","locus106",59,15,0.797297297297297,0.202702702702703
"106","mindepth_10_10_40","locus107",32,42,0.432432432432432,0.567567567567568
"107","mindepth_10_10_40","locus108",33,41,0.445945945945946,0.554054054054054
"108","mindepth_10_10_40","locus109",55,19,0.743243243243243,0.256756756756757
"109","mindepth_10_10_40","locus110",30,44,0.405405405405405,0.594594594594595
"110","mindepth_10_10_40","locus111",32,42,0.432432432432432,0.567567567567568
"111","mindepth_10_10_40","locus112",42,32,0.567567567567568,0.432432432432432
"112","mindepth_10_10_40","locus113",30,44,0.405405405405405,0.594594594594595
"113","mindepth_10_10_40","locus114",38,36,0.513513513513513,0.486486486486487
"114","mindepth_10_10_40","locus115",38,36,0.513513513513513,0.486486486486487
"115","mindepth_10_10_40","locus116",30,44,0.405405405405405,0.594594594594595
"116","mindepth_10_10_40","locus117",30,44,0.405405405405405,0.594594594594595
"117","mindepth_10_10_40","locus118",43,31,0.581081081081081,0.418918918918919
"118","mindepth_10_10_40","locus119",51,23,0.689189189189189,0.310810810810811
"119","mindepth_10_10_40","locus120",58,16,0.783783783783784,0.216216216216216
"120","mindepth_10_10_40","locus121",38,36,0.513513513513513,0.486486486486487
