"","Id","locus","no_miss","miss","perc_no_miss","perc_miss"
"1","clust_82_40","locus2",40,34,0.540540540540541,0.459459459459459
"2","clust_82_40","locus3",30,44,0.405405405405405,0.594594594594595
"3","clust_82_40","locus4",50,24,0.675675675675676,0.324324324324324
"4","clust_82_40","locus5",32,42,0.432432432432432,0.567567567567568
"5","clust_82_40","locus6",47,27,0.635135135135135,0.364864864864865
"6","clust_82_40","locus7",32,42,0.432432432432432,0.567567567567568
"7","clust_82_40","locus8",38,36,0.513513513513513,0.486486486486487
"8","clust_82_40","locus9",47,27,0.635135135135135,0.364864864864865
"9","clust_82_40","locus10",37,37,0.5,0.5
"10","clust_82_40","locus11",70,4,0.945945945945946,0.0540540540540541
"11","clust_82_40","locus12",30,44,0.405405405405405,0.594594594594595
"12","clust_82_40","locus13",33,41,0.445945945945946,0.554054054054054
"13","clust_82_40","locus14",71,3,0.959459459459459,0.0405405405405405
"14","clust_82_40","locus15",48,26,0.648648648648649,0.351351351351351
"15","clust_82_40","locus16",32,42,0.432432432432432,0.567567567567568
"16","clust_82_40","locus17",47,27,0.635135135135135,0.364864864864865
"17","clust_82_40","locus18",33,41,0.445945945945946,0.554054054054054
"18","clust_82_40","locus19",62,12,0.837837837837838,0.162162162162162
"19","clust_82_40","locus20",38,36,0.513513513513513,0.486486486486487
"20","clust_82_40","locus21",44,30,0.594594594594595,0.405405405405405
"21","clust_82_40","locus22",35,39,0.472972972972973,0.527027027027027
"22","clust_82_40","locus23",46,28,0.621621621621622,0.378378378378378
"23","clust_82_40","locus24",50,24,0.675675675675676,0.324324324324324
"24","clust_82_40","locus25",40,34,0.540540540540541,0.459459459459459
"25","clust_82_40","locus26",35,39,0.472972972972973,0.527027027027027
"26","clust_82_40","locus27",44,30,0.594594594594595,0.405405405405405
"27","clust_82_40","locus28",34,40,0.459459459459459,0.540540540540541
"28","clust_82_40","locus29",40,34,0.540540540540541,0.459459459459459
"29","clust_82_40","locus30",30,44,0.405405405405405,0.594594594594595
"30","clust_82_40","locus31",33,41,0.445945945945946,0.554054054054054
"31","clust_82_40","locus32",74,NA,1,NA
"32","clust_82_40","locus33",35,39,0.472972972972973,0.527027027027027
"33","clust_82_40","locus34",33,41,0.445945945945946,0.554054054054054
"34","clust_82_40","locus35",32,42,0.432432432432432,0.567567567567568
"35","clust_82_40","locus36",63,11,0.851351351351351,0.148648648648649
"36","clust_82_40","locus37",31,43,0.418918918918919,0.581081081081081
"37","clust_82_40","locus38",34,40,0.459459459459459,0.540540540540541
"38","clust_82_40","locus39",30,44,0.405405405405405,0.594594594594595
"39","clust_82_40","locus40",55,19,0.743243243243243,0.256756756756757
"40","clust_82_40","locus41",33,41,0.445945945945946,0.554054054054054
"41","clust_82_40","locus42",32,42,0.432432432432432,0.567567567567568
"42","clust_82_40","locus43",49,25,0.662162162162162,0.337837837837838
"43","clust_82_40","locus44",35,39,0.472972972972973,0.527027027027027
"44","clust_82_40","locus45",31,43,0.418918918918919,0.581081081081081
"45","clust_82_40","locus46",55,19,0.743243243243243,0.256756756756757
"46","clust_82_40","locus47",56,18,0.756756756756757,0.243243243243243
